,,,,,,,,,,Title,,
Promotion,,,,,,,,,,Packaged Gross Weight (lb) (lb),,
SKU,Product Description,Product Dimension (inch),,,Pallet Dimension (inch),,,Cost,RRP,,,
,,L,W,T,L,W,T,,,,,
818250,"Unfinished Hevea Butcher Block 8' × 25""",96,25,1.5,98,27,8,208,260,86,,
810250,"Unfinished Hevea Butcher Block 10' × 25""",120,25,1.5,122,27,8,256,320,108,,
812250,"Unfinished Hevea Butcher Block 12' × 25""",144,25,1.5,146,27,8,328,410,128,,
816390,"Unfinished Hevea Island 6' × 39""",72,39,1.5,74,41,8,264,330,101,,
818390,"Unfinished Hevea Island 8' × 39""",96,39,1.5,98,41,8,304,380,134,,
838250,"Unfinished Acacia Butcher Block 8' × 25""",96,25,1.5,98,27,8,200,250,86,8 ft. L x 39 in. D Unfinished Acacia Butcher Block Standard Countertop Island in Brown with Standard Edge,105
830250,"Unfinished Acacia Butcher Block 10' × 25""",120,25,1.5,122,27,8,248,310,108,,
832250,"Unfinished Acacia Butcher Block 12' × 25""",144,25,1.5,146,27,8,318.4,398,128,,
836390,"Unfinished Acacia Island 6' × 39""",72,39,1.5,74,41,8,256,320,101,,
838390,"Unfinished Acacia Island 8' × 39""",96,39,1.5,98,41,8,296,370,134,có pallet cao hơn 5in,
