SKU,Short Description,Carton Len (in),Carton Wid (in),Carton Hgt (in),Carton Weight (lb)
901121,Thor Bed Head Board - Queen Size,83,12,8,47
901130,Thor Bed - Queen Size,86,12,10,87
901131,Thor Bed Head Board - Queen Size,83,12,8,47
901160,Thor Bed - Queen Size,86,12,10,87
901200,Thor Bed - Full Size,81,12,10,81
901201,Thor Bed Head Board - Full Size,0,0,0,0
901210,Thor Bed - Full Size,81,12,10,81
901211,Thor Bed Head Board - Full Size,0,0,0,0
901220,Thor Bed - Full Size,81,12,10,81
901221,Thor Bed Head Board - Full Size,0,0,0,0
901230,Thor Bed - Full Size,81,12,10,81
901231,Thor Bed Head Board - Full Size,0,0,0,0
901260,Thor Bed - Full Size,81,12,10,81
901300,Thor Bed - Twin XL,87,16,7,72
901301,Thor Bed Head Board - Twin XL,87,12,10,0
901310,Thor Bed - Twin XL,87,16,7,72
901311,Thor Bed Head Board - Twin XL,0,0,0,0
901320,Thor Bed - Twin XL,87,16,7,72
901321,Thor Bed Head Board - Twin XL,0,0,0,0
901330,Thor Bed - Twin XL,87,16,7,72
901331,Thor Bed Head Board - Twin XL,0,0,0,0
901360,Thor Bed - Twin XL,87,16,7,72
902001,Loki Bed - King Size,85,13,9,130
902011,Loki Bed - King Size,85,13,9,130
902031,Loki Bed - King Size,85,13,9,130
902041,Loki Bed - King Size,85,13,9,130
902101,Loki Bed - Queen Size,83,13,10,126
902111,Loki Bed - Queen Size,84,13,9,126
902131,Loki Bed - Queen Size,83,13,10,126
902141,Loki Bed - Queen Size,83,13,10,126
902201,Loki Bed - Full Size,83,13,10,113
902211,Loki Bed - Full Size,78,13,9,113
902231,Loki Bed - Full Size,83,13,10,113
902241,Loki Bed - Full Size,83,13,10,113
902301,Loki Bed - Twin XL Size,84,14,8,95
902311,Loki Bed - Twin XL Size,83,14,8,95
902331,Loki Bed - Twin XL Size,84,14,8,95
902341,Loki Bed - Twin XL Size,84,14,8,95
903001,Apollo Bed - King Size,84,11,12,132
903031,Apollo Bed - King Size,84,11,12,132
903061,Apollo Bed - King Size,84,11,12,132
903101,Apollo Bed - Queen Size,84,11,12,115
903131,Apollo Bed - Queen Size,84,11,12,115
903161,Apollo Bed - Queen Size,84,11,12,115
903201,Apollo Bed - Full Size,79,12,13,104
903231,Apollo Bed - Full Size,79,12,13,104
903261,Apollo Bed - Full Size,79,12,13,104
903301,Apollo Bed - Twin XL Size,84,12,11,87
903331,Apollo Bed - Twin XL Size,84,12,11,87
903361,Apollo Bed - Twin XL Size,84,12,11,87
904021,Williams Bed - King Size,84,11,12,110
905001,Solid Wood Canyon Bed,0,0,0,0
906031,Freya King Size,83,14,8,132
906131,Freya Queen Size,0,0,0,0
906231,Freya Full Size,0,0,0,0
906331,Freya Twin XL Size,0,0,0,0
907000,Noah Bed Chamfer Leg - King,87,11,10,96
907010,Noah Bed Chamfer Leg - King,87,11,10,96
907030,Noah Bed Chamfer Leg - King,87,11,10,96
907060,Noah Bed Chamfer Leg - King,87,11,10,96
907100,Noah Bed Chamfer Leg - Queen,87,11,10,83
907110,Noah Bed Chamfer Leg Queen,87,11,10,83
907130,Noah Bed Chamfer Leg - Queen,87,11,10,83
907160,Noah Bed Chamfer Leg - Queen,87,11,10,83
907200,Noah Bed Chamfer Leg - Full,82,12,10,78
907210,Noah Bed Chamfer Leg - Full,82,12,10,78
907230,Noah Bed Chamfer Leg - Full,82,12,10,78
907260,Noah Bed Chamfer Leg - Full,82,12,10,78
907300,Noah Bed Chamfer Leg - Twin XL,88,12,8,68
907310,Noah Bed Chamfer Leg - Twin XL,88,12,8,68
907330,Noah Bed Chamfer Leg - Twin XL,88,12,8,68
907360,Noah Bed Chamfer Leg - Twin XL,88,12,8,68
910000,Thor WF - King,86,12,10,98
910030,Thor WF - King,86,12,10,98
910040,Thor WF - King,86,12,10,98
910100,Thor WF - Queen,86,12,10,87
910130,Thor WF - Queen,86,12,10,87
910140,Thor WF - Queen,86,12,10,87
910200,Thor WF - Full,81,12,10,81
910230,Thor WF - Full,81,12,10,81
910240,Thor WF - Full,81,12,10,81
911001,Thor with HB Chamfer Leg - King,88,16,14,146
911031,Thor with HB Chamfer Leg - King,88,16,14,146
911101,Thor with HB Chamfer Leg - Queen,88,16,14,139
911131,Thor with HB Chamfer Leg - Queen,88,16,14,139
911201,Thor with HB Chamfer Leg - Full,88,16,14,139
911231,Thor with HB Chamfer Leg - Full,88,16,14,139
912001,Thor with HB Curved Leg - King,88,16,14,146
912031,Thor with HB Curved Leg - King,88,16,14,146
912101,Thor with HB Curved Leg - Queen,88,16,14,139
912131,Thor with HB Curved Leg - Queen,88,16,14,139
913001,Noad Bed with Headboard,0,0,0,0
914001,Noah Bed with HB Curved Leg - King,88,16,14,146
914031,Noah Bed with HB Curved Leg - King,88,16,14,146
914101,Noah Bed with HB Curved Leg - Queen,88,16,14,141
914131,Noah Bed with HB Curved Leg - Queen,88,16,14,141
914201,Noah Bed with HB Curved Leg - Full,88,23,8,141
914231,Noah Bed with HB Curved Leg - Full,88,23,8,141
916001,Loki Chevron Headboard - King,86,22,11,130
916031,Loki Chevron Headboard - King,86,22,11,130
916101,Loki Chevron Headboard - Queen,83,22,11,126
916131,Loki Chevron Headboard - Queen,83,22,11,126
916201,Loki Chevron Headboard - Full,83,14,8,95
916231,Loki Chevron Headboard - Full,84,14,8,95
810250-B,"Unfinished Hevea Butcher Block 10' × 25""",122,27,2,108
810250,"Unfinished Hevea Butcher Block 10' × 25""",122,27,2,108
818390,"Unfinished Hevea Island 8' × 39""",98,41,2,134
830250,"Unfinished Acacia Butcher Block 10' × 25""",122,27,2,108
838390,"Unfinished Acacia Island 8' × 39""",98,41,2,134
